9.287862777709960938e-01 2.356939762830734253e-01 9.830729365348815918e-01 5.601702257990837097e-02 5.058053016662597656e+01
9.696346521377563477e-01 1.011912003159523010e-01 9.848757982254028320e-01 4.425700008869171143e-02 7.556610345840454102e+00
9.744754433631896973e-01 8.562467247247695923e-02 9.831731915473937988e-01 5.524262040853500366e-02 1.245247125625610352e+01
9.765450954437255859e-01 7.809213548898696899e-02 9.884815812110900879e-01 3.835124149918556213e-02 2.952431416511535645e+01
9.801839590072631836e-01 6.639993190765380859e-02 9.890825748443603516e-01 3.580541536211967468e-02 1.094861698150634766e+01
9.813857078552246094e-01 6.194848567247390747e-02 9.886819124221801758e-01 3.967244550585746765e-02 7.813407421112060547e+00
9.802505373954772949e-01 6.642936170101165771e-02 9.884817600250244141e-01 4.393956437706947327e-02 8.684181451797485352e+00
9.821367263793945312e-01 6.006646156311035156e-02 9.901843070983886719e-01 3.532854095101356506e-02 1.010308742523193359e+01
9.835892319679260254e-01 5.398963019251823425e-02 9.890825748443603516e-01 4.592141881585121155e-02 1.230571293830871582e+01
9.839228987693786621e-01 5.399393290281295776e-02 9.893831610679626465e-01 4.217457398772239685e-02 1.223451876640319824e+01
9.835554957389831543e-01 5.501580610871315002e-02 9.877805709838867188e-01 4.531735926866531372e-02 1.083221101760864258e+01
9.829546809196472168e-01 5.534824356436729431e-02 9.887821078300476074e-01 4.413879290223121643e-02 1.106017518043518066e+01
9.859758615493774414e-01 4.633199423551559448e-02 9.891827106475830078e-01 4.791162163019180298e-02 6.819368124008178711e+00
9.853081703186035156e-01 4.984306544065475464e-02 9.900841712951660156e-01 4.659078642725944519e-02 1.632208633422851562e+01
9.847072362899780273e-01 5.173750966787338257e-02 9.895834326744079590e-01 4.449109360575675964e-02 1.355339002609252930e+01
9.854252338409423828e-01 5.204088240861892700e-02 9.887821674346923828e-01 4.611497744917869568e-02 9.044270038604736328e+00
